Title,HEY HEY,,,,,,
Artist,MILLI feat. Aphaphorn Nakhonsawan,,,,,,
BPM,105,,,,,,
Offset,7.5,,,,,,
Difficulty,Normal,,,,,,
Level,10,,,,,,
Mapper,visionalee,,,,,,
Illustrator,just demo,,,,,,
Description,just demo,,,,,,
Note Data,,,,OC/OH Multiplier,Time Signature,,HoldNote Value
Beat,Lane,Circle,Note Type,Anor/Rev-Hold Value,Numerator,Denominator,
0,0,0,single,,,,
1,0,0,single,,,,
2,0,0,single,,,,
3,0,0,single,,,,
4,0,0,single,,,,
5,0,0,single,,,,
6,0,0,single,,,,
7,0,0,single,,,,
8,0,0,single,,,,
9,0,0,single,,,,
11,0,0,single,,,,
12,0,0,single,,,,
13,0,0,single,,,,
14,0,0,single,,,,
15,0,0,single,,,,
16,0,0,single,,,,
17,0,0,single,,,,
18,0,0,single,,,,
19,0,0,single,,,,
20,0,0,single,,,,
21,0,0,single,,,,
23,0,0,single,,,,
24,0,0,single,,,,
24.5,0,0,single,,,,
25,0,0,single,,,,
25.25,0,0,single,,,,
25.75,0,0,single,,,,
26.5,0,0,single,,,,
26.75,0,0,single,,,,
27,0,0,single,,,,
27.5,0,0,single,,,,
27.75,0,0,single,,,,
28.5,0,0,single,,,,
29,0,0,single,,,,
29.25,0,0,single,,,,
29.75,0,0,single,,,,
30.5,0,0,single,,,,
30.75,0,0,single,,,,
31,0,0,single,,,,
31.5,0,0,single,,,,
31.75,0,0,single,,,,
32,0,0,single,,,,
33,0,0,single,,,,
35,0,0,single,,,,
36,0,0,single,,,,
37,0,0,single,,,,
38,0,0,single,,,,
39,0,0,single,,,,
40,0,0,single,,,,
41,0,0,single,,,,
42,0,0,single,,,,
43,0,0,single,,,,
44,0,0,single,,,,
45,0,0,single,,,,
46,0,0,single,,,,
47,0,0,single,,,,
48,0,0,anomaly,135,,,
49,0,0,single,,,,
50,0,0,single,,,,
51,0,0,single,,,,
52,0,0,single,,,,
53,0,0,single,,,,
54,0,0,single,,,,
55,0,0,single,,,,
56,0,0,single,,,,
57,0,0,single,,,,
58,0,0,single,,,,
59,0,0,single,,,,
60,0,0,single,,,,
61,0,0,single,,,,
62,0,0,single,,,,
63,0,0,single,,,,
64,0,0,single,,,,
65,0,0,single,,,,
66,0,0,single,,,,
67,0,0,single,,,,
68,0,0,single,,,,
69,0,0,single,,,,
70,0,0,single,,,,
71,0,0,single,,,,
72,0,0,single,,,,
73,0,0,single,,,,
74,0,0,single,,,,
75,0,0,single,,,,
76,0,0,single,,,,
77,0,0,single,,,,
78,0,0,single,,,,
79,0,0,single,,,,
80,0,0,single,,,,
81,0,0,single,,,,
82,0,0,single,,,,
83,0,0,single,,,,
84,0,0,single,,,,
85,0,0,single,,,,
86,0,0,single,,,,
87,0,0,single,,,,
88,0,0,single,,,,
89,0,0,single,,,,
90,0,0,single,,,,
91,0,0,single,,,,
92,0,0,single,,,,
93,0,0,single,,,,
94,0,0,single,,,,
95,0,0,single,,,,
96,0,0,single,,,,
97,0,0,single,,,,
98,0,0,single,,,,
99,0,0,single,,,,
100,0,0,single,,,,
101,0,0,single,,,,
102,0,0,single,,,,
103,0,0,single,,,,
104,0,0,single,,,,
105,0,0,single,,,,
106,0,0,single,,,,
107,0,0,single,,,,
108,0,0,single,,,,
109,0,0,single,,,,
110,0,0,single,,,,
111,0,0,single,,,,
112,0,0,single,,,,
113,0,0,single,,,,
114,0,0,single,,,,
115,0,0,single,,,,
116,0,0,single,,,,
117,0,0,single,,,,
118,0,0,single,,,,
119,0,0,single,,,,
120,0,0,single,,,,
121,0,0,single,,,,
122,0,0,single,,,,
123,0,0,single,,,,
124,0,0,single,,,,
125,0,0,single,,,,
126,0,0,single,,,,
127,0,0,single,,,,
128,0,0,single,,,,
129,0,0,single,,,,
130,0,0,single,,,,
131,0,0,single,,,,
132,0,0,single,,,,
133,0,0,single,,,,
134,0,0,single,,,,
135,0,0,single,,,,
136,0,0,single,,,,
137,0,0,single,,,,
138,0,0,single,,,,
139,0,0,single,,,,
140,0,0,single,,,,
141,0,0,single,,,,
142,0,0,single,,,,
143,0,0,single,,,,
144,0,0,single,,,,
145,0,0,single,,,,
146,0,0,single,,,,
147,0,0,single,,,,
148,0,0,single,,,,
149,0,0,single,,,,
150,0,0,single,,,,
151,0,0,single,,,,
152,0,0,single,,,,
153,0,0,single,,,,
154,0,0,single,,,,
155,0,0,single,,,,
156,0,0,single,,,,
157,0,0,single,,,,
158,0,0,single,,,,
159,0,0,single,,,,
160,0,0,single,,,,
161,0,0,single,,,,
162,0,0,single,,,,
163,0,0,single,,,,
164,0,0,single,,,,
165,0,0,single,,,,
166,0,0,single,,,,
167,0,0,single,,,,
168,0,0,single,,,,
169,0,0,single,,,,
170,0,0,single,,,,
171,0,0,single,,,,
172,0,0,single,,,,
173,0,0,single,,,,
174,0,0,single,,,,
175,0,0,single,,,,
176,0,0,single,,,,
177,0,0,single,,,,
178,0,0,single,,,,
179,0,0,single,,,,
180,0,0,single,,,,
181,0,0,single,,,,
182,0,0,single,,,,
183,0,0,single,,,,
184,0,0,single,,,,
185,0,0,single,,,,
186,0,0,single,,,,
187,0,0,single,,,,
188,0,0,single,,,,
189,0,0,single,,,,
190,0,0,single,,,,
191,0,0,single,,,,
192,0,0,single,,,,
193,0,0,single,,,,
194,0,0,single,,,,
195,0,0,single,,,,
196,0,0,single,,,,
197,0,0,single,,,,
198,0,0,single,,,,
199,0,0,single,,,,
200,0,0,single,,,,
201,0,0,single,,,,
202,0,0,single,,,,
203,0,0,single,,,,
204,0,0,single,,,,
205,0,0,single,,,,
206,0,0,single,,,,
207,0,0,single,,,,
208,0,0,single,,,,
209,0,0,single,,,,
210,0,0,single,,,,
211,0,0,single,,,,
212,0,0,single,,,,
213,0,0,single,,,,
214,0,0,single,,,,
215,0,0,single,,,,
216,0,0,single,,,,
217,0,0,single,,,,
218,0,0,single,,,,
219,0,0,single,,,,
220,0,0,single,,,,
221,0,0,single,,,,
222,0,0,single,,,,
223,0,0,single,,,,
224,0,0,single,,,,
225,0,0,single,,,,
226,0,0,single,,,,
227,0,0,single,,,,
228,0,0,single,,,,
229,0,0,single,,,,
230,0,0,single,,,,
231,0,0,single,,,,
232,0,0,single,,,,
233,0,0,single,,,,
234,0,0,single,,,,
235,0,0,single,,,,
236,0,0,single,,,,
237,0,0,single,,,,
238,0,0,single,,,,
239,0,0,single,,,,
240,0,0,single,,,,
241,0,0,single,,,,
242,0,0,single,,,,
243,0,0,single,,,,
244,0,0,single,,,,
245,0,0,single,,,,
246,0,0,single,,,,
247,0,0,single,,,,
248,0,0,single,,,,
249,0,0,single,,,,
250,0,0,single,,,,
251,0,0,single,,,,
252,0,0,single,,,,
253,0,0,single,,,,
254,0,0,single,,,,
255,0,0,single,,,,
256,0,0,single,,,,
257,0,0,single,,,,
258,0,0,single,,,,
259,0,0,single,,,,
260,0,0,single,,,,
261,0,0,single,,,,
262,0,0,single,,,,
263,0,0,single,,,,
264,0,0,single,,,,
265,0,0,single,,,,
266,0,0,single,,,,
267,0,0,single,,,,
268,0,0,single,,,,
269,0,0,single,,,,
270,0,0,single,,,,
271,0,0,single,,,,
272,0,0,single,,,,
273,0,0,single,,,,
274,0,0,single,,,,
275,0,0,single,,,,
276,0,0,single,,,,
277,0,0,single,,,,
278,0,0,single,,,,
279,0,0,single,,,,
280,0,0,single,,,,
281,0,0,single,,,,
282,0,0,single,,,,
283,0,0,single,,,,
284,0,0,single,,,,
285,0,0,single,,,,
286,0,0,single,,,,
287,0,0,single,,,,
288,0,0,single,,,,
289,0,0,single,,,,
290,0,0,single,,,,
291,0,0,single,,,,
292,0,0,single,,,,
293,0,0,single,,,,
294,0,0,single,,,,
295,0,0,single,,,,
296,0,0,single,,,,
297,0,0,single,,,,
298,0,0,single,,,,
299,0,0,single,,,,
300,0,0,single,,,,
301,0,0,single,,,,
302,0,0,single,,,,
303,0,0,single,,,,
304,0,0,single,,,,
305,0,0,single,,,,
306,0,0,single,,,,
307,0,0,single,,,,
308,0,0,single,,,,
309,0,0,single,,,,
310,0,0,single,,,,
311,0,0,single,,,,
312,0,0,single,,,,
313,0,0,single,,,,
314,0,0,single,,,,
315,0,0,single,,,,
316,0,0,single,,,,
317,0,0,single,,,,